Lattice Direction Pseudo, Atom Type, Atom Number, KE, Final Energy, Delta Energy
66S, n, 35, 25, -1815.809934, 7.557871
66S, n, 35, 17, -1815.793596, 7.574209
66S, n, 35, 9, -1823.364498, 0.003307
66S, n, 35, 13, -1823.364832, 0.002973
66S, n, 35, 15, -1823.363594, 0.004211
66S, n, 35, 16, -1823.364784, 0.003021
67S, ga, 34, 25, -1823.366281, 0.001524
67S, ga, 34, 33, -1812.377907, 10.989898
67S, ga, 34, 29, -1823.365487, 0.002318
67S, ga, 34, 31, -1823.365154, 0.002651
67S, ga, 34, 32, -1823.365802, 0.002003
67S, n, 35, 25, -1815.810193, 7.557612
67S, n, 35, 17, -1823.366669, 0.001136
67S, n, 35, 21, -1815.794031, 7.573774
67S, n, 35, 19, -1823.365976, 0.001829
67S, n, 35, 20, -1823.365631, 0.002174
68S, ga, 34, 25, -1823.365527, 0.002278
68S, ga, 34, 33, -1823.365523, 0.002282
68S, ga, 34, 41, -1823.366274, 0.001531
68S, ga, 34, 49, -1823.366623, 0.001182
68S, n, 35, 25, -1823.364944, 0.002861
68S, n, 35, 33, -1823.366883, 0.000922
68S, n, 35, 41, -1815.790134, 7.577671
68S, n, 35, 37, -1823.366293, 0.001512
68S, n, 35, 39, -1823.366495, 0.001310
68S, n, 35, 40, -1823.367031, 0.000774
69S, ga, 34, 25, -1823.366018, 0.001787
69S, ga, 34, 33, -1823.366170, 0.001635
69S, ga, 34, 41, -1812.376695, 10.991110
69S, ga, 34, 37, -1823.365488, 0.002317
69S, ga, 34, 39, -1823.365954, 0.001851
69S, ga, 34, 40, -1823.366144, 0.001661
69S, n, 35, 25, -1823.366944, 0.000861
69S, n, 35, 33, -1823.364812, 0.002993
69S, n, 35, 41, -1815.894385, 7.473420
69S, n, 35, 37, -1823.366649, 0.001156
69S, n, 35, 39, -1815.809618, 7.558187
69S, n, 35, 38, -1823.367189, 0.000616
6L, ga, 34, 25, -1823.365993, 0.001812
6L, ga, 34, 33, -1811.328175, 12.039630
6L, ga, 34, 29, -1811.291071, 12.076734
6L, ga, 34, 27, -1811.290640, 12.077165
6L, ga, 34, 26, -1811.291367, 12.076438
70S, ga, 34, 25, -1823.366246, 0.001559
70S, ga, 34, 33, -1823.366048, 0.001757
70S, ga, 34, 41, -1812.377696, 10.990109
70S, ga, 34, 37, -1823.366502, 0.001303
70S, ga, 34, 39, -1823.366974, 0.000831
70S, ga, 34, 40, -1823.366019, 0.001786
70S, n, 35, 25, -1823.366781, 0.001024
70S, n, 35, 33, -1823.367374, 0.000431
70S, n, 35, 41, -1815.807768, 7.560037
70S, n, 35, 37, -1815.769578, 7.598227
70S, n, 35, 35, -1815.770408, 7.597397
70S, n, 35, 34, -1815.649499, 7.718306
71S, ga, 34, 25, -1823.365939, 0.001866
71S, ga, 34, 33, -1823.366128, 0.001677
71S, ga, 34, 41, -1812.377905, 10.989900
71S, ga, 34, 37, -1823.365593, 0.002212
71S, ga, 34, 39, -1823.366047, 0.001758
71S, ga, 34, 40, -1823.366015, 0.001790
71S, n, 35, 25, -1817.678698, 5.689107
71S, n, 35, 17, -1823.364875, 0.002930
71S, n, 35, 21, -1823.365562, 0.002243
71S, n, 35, 23, -1823.365753, 0.002052
71S, n, 35, 24, -1823.366526, 0.001279
